I, 30 9.43396%
you, 19 5.97484%
so, 12 3.77358%
in, 11 3.45912%
be, 10 3.14465%
the, 10 3.14465%
me, 9 2.83019%
to, 9 2.83019%
become, 8 2.51572%
undertow, 8 2.51572%
ve, 8 2.51572%
like, 7 2.20126%
more, 7 2.20126%
t, 7 2.20126%
can, 6 1.88679%
m, 6 1.88679%
of, 6 1.88679%
tired, 6 1.88679%
want, 6 1.88679%
feel, 5 1.57233%
just, 5 1.57233%
numb, 5 1.57233%
there, 5 1.57233%
Caught, 4 1.25786%
Is, 4 1.25786%
caught, 4 1.25786%
that, 4 1.25786%
what, 4 1.25786%
all, 3 0.943396%
and, 3 0.943396%
aware, 3 0.943396%
becoming, 3 0.943396%
being, 3 0.943396%
do, 3 0.943396%
know, 3 0.943396%
less, 3 0.943396%
much, 3 0.943396%
take, 3 0.943396%
this, 3 0.943396%
And, 2 0.628931%
Every, 2 0.628931%
another, 2 0.628931%
is, 2 0.628931%
mistake, 2 0.628931%
re, 2 0.628931%
step, 2 0.628931%
too, 2 0.628931%
under, 2 0.628931%
But, 1 0.314465%
Can, 1 0.314465%
Cause, 1 0.314465%
Don, 1 0.314465%
Feeling, 1 0.314465%
Has, 1 0.314465%
Holding, 1 0.314465%
Put, 1 0.314465%
You, 1 0.314465%
afraid, 1 0.314465%
apart, 1 0.314465%
control, 1 0.314465%
disappointed, 1 0.314465%
end, 1 0.314465%
every, 1 0.314465%
everything, 1 0.314465%
expecting, 1 0.314465%
failing, 1 0.314465%
faithless, 1 0.314465%
fallen, 1 0.314465%
front, 1 0.314465%
lose, 1 0.314465%
lost, 1 0.314465%
may, 1 0.314465%
pressure, 1 0.314465%
right, 1 0.314465%
second, 1 0.314465%
see, 1 0.314465%
shoes, 1 0.314465%
smothering, 1 0.314465%
someone, 1 0.314465%
surface, 1 0.314465%
than, 1 0.314465%
thought, 1 0.314465%
tightly, 1 0.314465%
up, 1 0.314465%
walking, 1 0.314465%
waste, 1 0.314465%
were, 1 0.314465%
with, 1 0.314465%
would, 1 0.314465%
your, 1 0.314465%
